CLIENTE,CP,SEXO,PLAN,SEM_ATRASO,SALDO,ATRASO,MORAS,P_INICIAL,P_SEMANAL,BONIF_MORAS,PLAZO_DIAS,BONIF_INTERESES,POR_DEVENGAR
70,89630,M,LIQUIDACION,376,10639,10639,10410,49,781,10410,42,5904,0
71,89650,F,REGULARIZACION,9,14793,3144,505,978,857,0,42,0,7029
72,89636,F,LIQUIDACION,172,4795,4795,6966,479,83,6966,364,0,0
72,89636,F,LIQUIDACION,172,4595,4595,6966,435,80,6966,364,0,0
73,89603,F,LIQUIDACION,253,9917,9917,8626,944,249,6643,308,0,0
74,89603,F,LIQUIDACION,242,25135,25135,24624,2515,435,24624,364,0,0
74,89603,F,LIQUIDACION,240,24657,24657,24624,2453,427,24624,364,0,0
74,89603,F,LIQUIDACION,241,25613,25613,24624,2577,443,24624,364,0,0
74,89603,F,LIQUIDACION,240,24179,24179,24624,2443,418,24624,364,0,0
75,89606,F,LIQUIDACION,232,9698,9698,9490,980,235,6928,336,0,0
76,89610,F,LIQUIDACION,13,2395,2012,486,684,259,126,56,0,214
77,89637,F,LIQUIDACION,325,10804,10804,10804,1084,270,10804,252,0,0
78,89606,M,LIQUIDACION,77,6917,6917,6679,677,208,6679,210,0,0
79,89645,M,LIQUIDACION,158,12790,12790,2630,12790,0,2630,0,0,0
80,89608,F,LIQUIDACION,151,7514,7514,6932,764,225,6932,210,0,0
81,89637,F,LIQUIDACION,170,8283,8283,5551,847,143,5551,364,0,0
82,89604,M,REGULARIZACION,9,26394,2727,554,860,519,0,84,0,14206
83,89846,F,REGULARIZACION,9,18174,3114,418,781,445,0,231,0,7950
84,89637,F,LIQUIDACION,223,8560,8560,8074,864,148,8074,364,0,0
85,89603,F,LIQUIDACION,19,2822,1740,458,499,488,0,35,0,564
86,89606,M,LIQUIDACION,15,6460,2680,750,1193,622,0,56,0,1823
87,89605,M,REGULARIZACION,13,11842,2712,368,677,382,0,105,0,5009
88,92064,M,REGULARIZACION,9,16632,2079,336,696,556,0,42,0,7919
89,89603,M,REGULARIZACION,9,13468,2700,438,648,455,0,126,0,5878
90,89603,F,LIQUIDACION,64,14837,12435,5086,1480,341,4069,294,0,1433
91,89490,M,REESTRUCTURA,17,10521,5055,1365,1406,218,0,336,0,
92,89603,M,LIQUIDACION,123,41949,41949,11090,4197,726,11090,364,0,0
92,89603,M,LIQUIDACION,127,44449,44449,11090,4461,769,11090,364,0,0
92,89603,M,LIQUIDACION,123,42449,42449,11090,4229,735,11090,364,0,0
93,89637,M,LIQUIDACION,164,16583,16583,7168,1659,287,7168,364,0,0
94,89610,M,REGULARIZACION,9,23793,2637,427,729,512,0,84,0,12583
95,89731,M,REGULARIZACION,9,20003,1799,64,447,404,0,63,0,10988
96,89610,M,REGULARIZACION,8,18848,1984,283,535,578,0,42,0,10223
97,89602,M,LIQUIDACION,103,5677,5677,5545,576,345,4436,126,0,0
98,89641,M,REGULARIZACION,9,4175,1431,92,594,321,0,63,0,1422
99,89605,M,REGULARIZACION,9,13924,1579,107,362,301,0,84,0,6508
100,89603,M,LIQUIDACION,19,7788,4918,1443,1107,1102,0,49,0,1506
101,89603,M,REGULARIZACION,8,23555,2769,98,1047,590,0,63,0,11594
102,89603,M,REGULARIZACION,9,14436,1696,227,589,298,0,105,0,7551
103,85533,F,LIQUIDACION,228,7525,7525,1760,3579,0,1760,0,3946,0
104,85370,F,REGULARIZACION,13,12983,2690,602,1201,373,0,105,0,6208
105,85535,F,LIQUIDACION,397,18900,18900,14561,18900,0,14561,0,0,0
106,85349,M,REGULARIZACION,8,17083,1399,147,609,393,0,42,0,9504
107,85386,M,LIQUIDACION,422,17871,17871,11265,29136,0,0,0,0,0
108,85534,F,LIQUIDACION,66,10468,10468,7311,1060,196,7311,336,0,0
109,85397,M,LIQUIDACION,119,71739,69314,16567,37860,0,16567,0,32791,1434.05
110,85530,M,LIQUIDACION,376,10044,10044,2761,1227,580,2761,84,1857,0
111,85505,M,LIQUIDACION,63,4471,4471,4325,4471,0,4325,0,0,0
112,85399,M,REGULARIZACION,9,17521,1713,263,510,487,0,42,0,9618
113,85388,M,REGULARIZACION,9,7965,2311,84,774,570,0,42,0,2935
114,32675,M,LIQUIDACION,443,4777,4777,4775,912,608,4775,42,217,0
115,32543,F,LIQUIDACION,399,16226,16226,12133,1616,487,12133,210,0,0
115,32543,F,LIQUIDACION,398,16226,16226,12133,1616,487,12133,210,0,0
116,32574,M,LIQUIDACION,665,8341,8341,1695,62,1043,1695,42,2021,0
117,32696,M,REGULARIZACION,11,39640,4600,247,1505,690,0,105,0,21200
118,32695,F,REGULARIZACION,5,52755,3456,218,1662,1133,0,63,0,29588
119,32695,M,LIQUIDACION,569,10528,10528,8449,1060,263,8449,252,0,0
120,32575,F,REESTRUCTURA,24,13773,10261,2284,803,282,0,378,0,
121,32695,M,LIQUIDACION,14,2035,2035,664,519,545,0,28,0,0
122,32671,M,LIQUIDACION,51,6291,6291,5563,3653,0,5563,0,2638,0
123,32575,M,LIQUIDACION,424,11118,11118,5767,1043,394,5767,168,619,0
124,32575,F,REGULARIZACION,5,107647,5703,678,2524,1503,0,105,0,60559
125,32574,F,REGULARIZACION,10,114871,10465,535,2311,1895,0,84,0,61457
126,32573,F,LIQUIDACION,441,2708,2708,2606,5314,0,0,0,0,0
127,32696,F,LIQUIDACION,439,6412,6412,4568,2898,0,4568,0,3514,0
128,32575,M,LIQUIDACION,247,16213,16213,12022,1633,405,12022,252,0,0
129,32545,F,REGULARIZACION,6,13818,1974,201,659,534,0,63,0,7062
130,32576,F,LIQUIDACION,41,14395,7158,4854,1345,234,4854,364,0,4317.79
131,32574,M,REGULARIZACION,4,17508,1305,53,913,555,0,63,0,9876
132,32680,F,LIQUIDACION,18,8405,5997,1997,2002,1050,0,56,0,1237
