CLIENTE,CP,SEXO,PLAN,SEM_ATRASO,SALDO,ATRASO,MORAS,P_INICIAL,P_SEMANAL,BONIF_MORAS,PLAZO_DIAS,BONIF_INTERESES,POR_DEVENGAR
3818,44760,M,LIQUIDACION,13,5060,1900,295,657,472,0,56,0,1602
3819,44720,M,LIQUIDACION,82,26349,24781,8661,2587,452,8661,364,0,936.8
3820,44329,M,LIQUIDACION,22,12584,5537,439,2023,1067,0,56,0,3698
3821,45653,F,LIQUIDACION,14,2382,2382,97,279,275,0,56,0,0
3822,44750,M,REGULARIZACION,7,23372,1952,128,751,431,0,63,0,12782
3823,44700,F,LIQUIDACION,50,24237,16381,10000,2313,397,10000,364,0,4301.19
3824,40600,F,REGULARIZACION,10,37915,5323,879,1492,1023,0,84,0,19401
3825,40660,M,REGULARIZACION,13,59655,9072,707,1484,1337,0,105,0,29021
3826,40660,M,LIQUIDACION,48,44270,31225,19985,4215,734,19985,364,0,7777.75
3827,40660,M,REESTRUCTURA,20,15416,7265,2448,894,282,0,420,0,
3828,40660,F,NI,324,16767,16767,66194,77704,0,307030,0,,
3829,40660,F,LIQUIDACION,216,17636,17636,10561,5000,351,10561,252,0,0
3830,40660,F,NI,36,2813.8,2813.8,1327.03,2814,0,1327.03,0,,
3831,40663,M,NI,324,9128,9128,36077,77704,0,307030,0,,
3832,78430,M,LIQUIDACION,66,25080,17424,7715,12152,0,7715,0,8448,4640
3833,40700,M,LIQUIDACION,25,5887,5887,1809,856,855,0,56,0,0
3834,40732,M,LIQUIDACION,127,5742,5742,2473,4494,104,2473,84,0,0
3835,40708,M,LIQUIDACION,14,15846,4947,509,1410,1406,132,56,0,5253
3836,40700,F,LIQUIDACION,154,7704,7704,7435,6166,0,7435,0,1538,0
3837,40660,M,LIQUIDACION,20,11541,4314,1924,2196,957,885,56,0,3752
3838,95160,M,LIQUIDACION,173,69476,69476,32515,33803,0,32515,0,35673,0
3839,68430,M,LIQUIDACION,286,14201,14201,13081,6502,0,13081,0,7699,0
3840,95206,F,LIQUIDACION,277,28605,28605,13272,501,2193,13272,42,14946,0
3841,68422,M,LIQUIDACION,311,47351,47351,22280,3000,5846,22280,21,26813,0
3842,68420,F,LIQUIDACION,214,6600,6600,4889,1055,705,4889,42,1315,0
3843,68422,F,LIQUIDACION,258,6648,6648,4175,892,420,4175,84,716,0
3844,68420,M,LIQUIDACION,14,18315,5362,1415,11499,0,424,0,0,7807
3845,68422,F,NI,356,1304,1304,8160,0,1466,7997,7,,
3846,68422,F,LIQUIDACION,282,9814,9814,8494,3902,0,8494,0,5912,0
3847,68420,F,LIQUIDACION,367,10960,10960,5036,1001,577,5036,42,6497,0
3848,95100,M,LIQUIDACION,24,4896,4896,2119,783,779,0,56,0,0
3849,68430,M,LIQUIDACION,239,4541,4541,3903,4541,0,3903,0,0,0
3850,95190,F,REGULARIZACION,9,14989,2477,165,599,492,0,84,0,5901
3851,68350,M,LIQUIDACION,299,9240,9240,5422,9240,0,5422,0,0,0
3852,68440,F,REGULARIZACION,11,15373,2965,119,606,512,0,84,0,7524
3853,68380,F,LIQUIDACION,76,24987,24987,10876,1794,570,4460,364,0,0
3854,68360,M,LIQUIDACION,208,20307,20307,13513,15529,0,13513,0,4778,0
3855,8930,M,REGULARIZACION,12,20187,2708,466,701,407,0,105,0,10408
3856,68465,M,LIQUIDACION,307,9513,9513,5949,3890,0,5949,0,5623,0
3857,68480,F,LIQUIDACION,21,7091,4445,1220,875,867,0,56,0,1404
3858,94300,F,LIQUIDACION,18,5118,2013,338,3512,0,0,0,0,1944
3859,67483,F,LIQUIDACION,11,2299,1331,324,655,246,0,56,0,328
3860,68310,M,LIQUIDACION,290,10157,10157,7240,45,1485,7240,21,5657,0
3861,68363,F,LIQUIDACION,17,12636,4574,359,1123,1122,0,56,0,4200
3862,68447,F,LIQUIDACION,118,5230,5230,4431,697,223,4431,126,519,0
3863,94476,M,REGULARIZACION,10,3346,1422,155,498,356,0,42,0,1062
3864,37408,F,LIQUIDACION,409,25892,25892,5255,9000,627,5255,28,14384,0
3865,37358,F,LIQUIDACION,446,2067,2067,23672,1288,0,23672,0,779,0
3866,37260,F,LIQUIDACION,12,922,922,259,395,393,0,14,0,0
3867,37297,F,LIQUIDACION,414,13738,13738,11605,6627,0,11605,0,7111,0
3868,37179,F,LIQUIDACION,21,21188,9401,3092,2004,2004,1484,56,0,6855
3869,37207,M,REGULARIZACION,12,30239,4499,167,802,680,0,105,0,15431
3870,37510,F,LIQUIDACION,73,6061,6061,5892,4075,0,5892,0,1986,0
3871,37295,M,LIQUIDACION,225,3291,3291,2865,2230,0,2865,0,1061,0
3872,37459,M,LIQUIDACION,282,59569,59569,19634,10000,7660,19634,14,34249,0
3873,37549,F,REGULARIZACION,10,19451,2400,185,525,649,0,42,0,8880
3874,37208,F,LIQUIDACION,93,16644,16644,6460,1668,288,6460,364,0,0
3875,37430,F,LIQUIDACION,219,14022,14022,6174,1494,348,6174,252,0,0
3875,37430,F,LIQUIDACION,220,14022,14022,6174,1422,300,6174,294,0,0
3876,37357,F,REGULARIZACION,11,38574,4912,1326,1167,922,0,84,0,18721
3877,37100,F,REGULARIZACION,12,22964,3274,619,834,456,0,126,0,11806
3878,37410,F,NI,413,1450,1450,10577,2507,0,9520,0,,
3878,37410,F,NI,414,1450,1450,10592,2509,0,9533,0,,
3879,37660,M,LIQUIDACION,368,7500,7500,3251,3245,0,3251,0,4255,0
3880,37545,F,LIQUIDACION,418,5726,5726,4264,519,255,4264,126,617,0
3881,37278,M,REGULARIZACION,13,10764,2172,81,362,317,0,105,0,5189
3882,37120,M,LIQUIDACION,377,2181,2181,2181,1007,0,2181,0,1174,0
3883,37530,F,LIQUIDACION,295,15284,15284,10578,6402,0,10578,0,8882,0
3884,37549,M,LIQUIDACION,204,10156,10156,6433,4204,0,6433,0,5952,0
3885,37545,M,REGULARIZACION,13,30124,4184,757,1132,397,0,252,0,16203
3886,37433,F,LIQUIDACION,174,4712,4712,3829,4712,0,3829,0,0,0
3887,37208,M,REGULARIZACION,13,26680,3682,137,588,529,0,105,0,14022
3888,37235,F,LIQUIDACION,311,8537,8537,8285,3012,513,6628,98,0,0
3889,37353,F,LIQUIDACION,265,7032,7032,5865,3695,0,5865,0,3337,0
3890,37660,F,REGULARIZACION,10,30333,3413,538,1510,575,0,84,0,16101
3891,37208,M,LIQUIDACION,12,1791,1650,117,211,210,17,56,0,68
3892,37300,M,LIQUIDACION,225,855,855,855,783,0,855,0,72,0
3893,37549,F,LIQUIDACION,224,1445,1445,1394,237,160,1394,42,248,0
3894,37680,M,LIQUIDACION,15,17378,3580,388,11239,0,131,0,0,7900
3895,37410,F,LIQUIDACION,70,14198,12726,5341,2002,469,5341,168,756,874
3896,37358,F,LIQUIDACION,15,11337,2097,79,812,701,0,56,0,5785
3897,37433,M,LIQUIDACION,70,6864,6864,1760,628,316,1760,126,548,0
3898,37545,M,REGULARIZACION,13,7397,1937,217,506,313,0,84,0,3325
3899,37330,M,LIQUIDACION,175,14835,14835,7963,7516,0,7963,0,7319,0
3900,37108,F,LIQUIDACION,48,6021,6021,2937,550,276,2937,126,503,0
3900,37108,F,LIQUIDACION,47,6021,6021,2937,550,276,2937,126,503,0
3901,37550,F,LIQUIDACION,166,14759,14759,8503,1475,369,8503,252,0,0
3902,37433,M,LIQUIDACION,155,15521,15521,6981,1553,582,6981,168,0,0
3903,37450,F,LIQUIDACION,50,9870,9870,2245,891,444,2245,126,987,0
3904,37238,M,REGULARIZACION,7,22349,1620,56,495,445,0,63,0,10645
3905,37235,M,LIQUIDACION,125,1815,1815,1756,1815,0,1756,0,0,0
3906,37287,F,LIQUIDACION,78,10350,10350,5816,904,456,5816,126,1238,0
3907,37108,M,LIQUIDACION,19,20810,4419,1368,4495,4495,601,14,0,9143
3908,37295,F,LIQUIDACION,70,5446,5446,4395,556,163,4395,210,0,0
3909,37296,F,LIQUIDACION,13,4824,2977,213,525,524,0,56,0,950
3910,37538,M,LIQUIDACION,47,4515,4480,3278,403,199,3278,126,525,20.91
3911,37666,M,LIQUIDACION,44,10145,10145,6710,6180,0,6710,0,3965,0
3912,37530,F,REGULARIZACION,13,16426,3761,294,1007,520,0,105,0,6723
3913,37358,M,REGULARIZACION,11,10778,4222,156,1266,778,0,63,0,3587
3914,37408,M,LIQUIDACION,43,42148,22156,13444,2710,827,9815,364,0,11908
3915,37358,F,REGULARIZACION,8,13674,2064,378,774,472,0,63,0,6896
3916,37530,M,LIQUIDACION,14,15996,3612,954,1223,1219,0,56,0,7356
3917,37340,M,REGULARIZACION,9,17802,2322,377,775,437,0,84,0,9195
3918,37549,M,REGULARIZACION,11,25149,5302,1035,1485,791,0,126,0,9569
3919,37296,F,REGULARIZACION,11,13483,1822,141,512,349,0,63,0,6848
3920,37480,M,REGULARIZACION,10,29481,3510,628,1062,476,0,189,0,14166
3921,37100,M,REGULARIZACION,13,22880,3380,822,790,464,0,126,0,11638
3922,37470,F,REGULARIZACION,10,14964,1720,313,526,310,0,84,0,7867
3923,56613,M,LIQUIDACION,169,15428,15428,18319,11491,0,18319,0,3937,0
3924,3300,M,LIQUIDACION,34,6255,6255,6100,998,344,6100,84,1129,0
3925,4030,F,LIQUIDACION,498,5465,5465,4295,1502,511,4295,42,897,0
3926,9440,F,REGULARIZACION,7,39957,2134,73,700,553,0,63,0,22921
3927,3650,F,LIQUIDACION,394,19508,19508,12165,2411,1139,12165,84,3429,0
3928,4100,M,LIQUIDACION,88,24895,22815,10018,2193,1094,10018,126,2730,1244
3929,3300,M,LIQUIDACION,413,15106,15106,8218,6888,0,8218,0,8218,0
3930,3660,F,LIQUIDACION,71,2563,2563,5133,322,153,5133,84,405,0
3931,3510,F,LIQUIDACION,423,9643,9643,4908,4623,0,4908,0,5020,0
3931,3510,F,LIQUIDACION,424,9643,9643,4908,3000,305,3927,175,0,0
3932,9440,F,LIQUIDACION,442,5526,5526,4346,695,331,4346,84,859,0
3932,9440,F,LIQUIDACION,443,5526,5526,4346,489,248,4346,126,573,0
3933,3660,F,LIQUIDACION,151,14074,14074,9940,1802,482,9940,168,704,0
3933,3660,F,LIQUIDACION,150,14074,14074,9940,1802,482,9940,168,704,0
3934,9440,F,REGULARIZACION,10,21417,1825,329,545,386,0,63,0,11870
3935,3320,F,LIQUIDACION,308,19070,19070,11747,6567,0,11747,0,12503,0
3935,3320,F,LIQUIDACION,307,19070,19070,11747,3301,1007,9398,126,0,0
3936,55270,F,LIQUIDACION,76,8019,8019,7784,1498,256,7784,168,377,0
3937,9440,M,LIQUIDACION,152,5178,5178,5159,2654,0,5159,0,2524,0
3938,3660,F,LIQUIDACION,195,13190,13190,7512,6133,0,7512,0,7057,0
3939,8200,M,LIQUIDACION,52,6468,6468,3944,996,304,3944,126,0,0
3940,4620,M,REGULARIZACION,11,12339,2093,292,515,566,0,42,0,6165
3941,9440,M,REGULARIZACION,8,13392,1352,89,402,370,0,42,0,7152
3942,9440,F,LIQUIDACION,73,20074,20074,10240,2030,347,10240,364,0,0
3943,14388,F,REGULARIZACION,9,7854,1712,157,471,350,0,63,0,3421
3944,83116,M,LIQUIDACION,518,4282,4282,3072,453,451,3072,42,1123,0
3945,83140,F,LIQUIDACION,70,7113,7113,3625,537,3469,3263,14,0,0
3946,83104,F,REGULARIZACION,12,33556,7363,751,1413,762,0,273,0,15740
3947,83290,F,LIQUIDACION,323,22691,22691,17606,9638,0,17606,0,13053,0
3947,83290,F,LIQUIDACION,324,22691,22691,17606,9638,0,17606,0,13053,0
3948,83130,M,REGULARIZACION,13,40567,6007,225,973,858,0,105,0,20748
3949,83105,F,LIQUIDACION,237,32000,32000,4046,1803,15301,3642,14,0,0
3949,83105,F,LIQUIDACION,238,32000,32000,4046,3192,554,4046,364,0,0
3949,83105,F,LIQUIDACION,240,32000,32000,4046,3192,554,4046,364,0,0
3949,83105,F,LIQUIDACION,239,32000,32000,4046,3192,554,4046,364,0,0
3950,83116,F,LIQUIDACION,407,30646,30646,19694,3086,530,19694,364,0,0
3951,83288,M,LIQUIDACION,126,15540,15540,14445,1552,269,14445,364,0,0
3951,83288,M,LIQUIDACION,125,15640,15640,14445,1548,271,14445,364,0,0
3951,83288,M,LIQUIDACION,124,15640,15640,14445,1505,7790,13001,14,0,0
3951,83288,M,LIQUIDACION,127,15440,15440,14445,1556,267,14445,364,0,0
3952,83280,M,LIQUIDACION,276,23880,23880,13450,106,5247,13450,14,13280,0
3953,83106,F,LIQUIDACION,89,10332,10332,9022,1024,179,9022,364,0,0
3954,83294,M,LIQUIDACION,298,16237,16237,6252,6628,0,6252,0,9609,0
3955,83106,M,LIQUIDACION,14,2662,1694,446,516,324,0,56,0,328
3956,83288,M,LIQUIDACION,226,69846,69846,46628,5824,34342,41966,14,0,0
3956,83288,M,LIQUIDACION,229,69646,69646,46428,6986,1205,46428,364,0,0
3956,83288,M,LIQUIDACION,227,69846,69846,46428,6978,1209,46428,364,0,0
3956,83288,M,LIQUIDACION,228,69846,69846,46428,6978,1209,46428,364,0,0
3957,83190,F,LIQUIDACION,394,4257,4257,2668,500,421,2668,28,2073,0
3958,83284,F,LIQUIDACION,189,27264,27264,5914,2720,472,5914,364,0,0
3958,83284,F,LIQUIDACION,187,27294,27294,5984,1664,13114,5386,14,0,0
3958,83284,F,LIQUIDACION,190,27264,27264,5914,2720,472,5914,364,0,0
3959,83287,F,LIQUIDACION,72,11438,11330,3478,745,219,2783,364,0,65
3960,83280,M,LIQUIDACION,308,8964,8964,7722,32,801,7722,28,5728,0
3961,83180,M,LIQUIDACION,332,16847,16847,9169,7163,0,9169,0,9684,0
3962,83300,F,LIQUIDACION,13,1701,1701,459,304,232,0,56,0,0
3963,83106,F,LIQUIDACION,216,8667,8667,8104,867,150,8104,364,0,0
3963,83106,F,LIQUIDACION,215,8767,8767,8104,863,152,8104,364,0,0
3964,83106,F,LIQUIDACION,229,9757,9757,9757,4844,0,9757,0,4913,0
3965,83104,F,LIQUIDACION,107,24799,24799,7761,1703,474,6209,364,0,0
3966,83280,M,REGULARIZACION,9,9855,1743,247,458,353,0,84,0,4953
3967,83106,F,LIQUIDACION,139,12703,12703,4490,860,250,3592,357,0,0
3968,83290,M,LIQUIDACION,111,8081,8081,0,405,3838,0,14,0,0
3968,83290,M,LIQUIDACION,111,7581,7581,0,769,131,0,364,0,0
3968,83290,M,LIQUIDACION,111,7331,7331,0,727,127,0,364,0,0
3968,83290,M,LIQUIDACION,111,7831,7831,0,759,136,0,364,0,0
3969,83105,F,LIQUIDACION,189,12088,12088,7922,4580,0,7922,0,7508,0
3970,83106,M,REGULARIZACION,8,22275,1800,253,478,345,0,105,0,12292
3971,83180,F,LIQUIDACION,81,24280,24280,14135,1921,11886,12722,14,0,0
3972,83175,M,LIQUIDACION,89,8559,8559,5087,745,377,5087,126,1028,0
3972,83175,M,LIQUIDACION,88,8559,8559,5087,745,377,5087,126,1028,0
3973,83106,F,LIQUIDACION,21,20190,7231,2687,2000,1999,161,56,0,6257
3974,83290,F,REGULARIZACION,9,22720,2020,235,468,561,0,42,0,12698
3975,83106,F,REGULARIZACION,12,13305,2683,343,687,397,0,105,0,5790
3976,83106,F,REGULARIZACION,10,17156,2211,150,1204,397,0,63,0,8140
3977,9220,F,LIQUIDACION,333,27453,27453,27453,11869,0,27453,0,15584,0
3978,15510,M,REGULARIZACION,13,9720,1599,65,405,249,0,84,0,4445
3979,62950,M,LIQUIDACION,319,57054,57054,27823,3001,2722,27823,42,37721,0
3980,2960,F,REGULARIZACION,12,10322,3884,273,1001,474,0,63,0,4060
3981,2600,F,REGULARIZACION,12,23561,3344,616,1119,499,0,105,0,12239
3982,2980,M,LIQUIDACION,20,8216,2795,933,1400,580,429,56,0,3295
3983,54910,M,LIQUIDACION,14,2617,2617,587,2208,249,0,28,0,0
3984,7770,F,REGULARIZACION,13,21284,3674,526,1265,549,0,84,0,10239
3985,7380,F,LIQUIDACION,69,24672,16446,5297,2336,408,5297,364,0,4952.57
3986,7800,M,LIQUIDACION,82,4575,4575,1756,4575,0,1756,0,0,0
3987,68405,M,LIQUIDACION,102,27489,27489,9071,15466,0,9071,0,12023,0
3988,29290,F,LIQUIDACION,22,4761,4761,1430,611,610,700,56,0,0
3989,29210,M,REGULARIZACION,13,21807,3347,376,644,631,0,63,0,11147
3990,29410,F,LIQUIDACION,13,2759,2759,221,332,331,0,56,0,0
3991,29290,F,LIQUIDACION,386,4473,4473,4051,2013,0,4051,0,2460,0
3992,29217,M,LIQUIDACION,22,10339,7061,1524,2010,994,731,56,0,1980
3993,29214,F,REGULARIZACION,7,133546,22447,785,7204,4772,0,105,0,51101
3994,29230,F,LIQUIDACION,11,3930,2878,403,619,619,0,42,0,554
3995,29230,M,LIQUIDACION,18,4348,3014,1002,591,586,0,56,0,784
3996,29256,F,REGULARIZACION,7,15897,1602,54,518,370,0,63,0,8587
3997,29239,M,LIQUIDACION,14,10271,3544,637,930,928,165,56,0,3510
3998,29260,M,REGULARIZACION,13,15607,3932,147,658,567,0,105,0,6551
3999,29210,M,REESTRUCTURA,24,8602,5368,2359,620,172,0,420,0,
4000,29210,M,REGULARIZACION,10,38586,4088,646,1648,640,0,105,0,20770
4001,29260,M,REGULARIZACION,13,21332,3185,226,962,715,0,42,0,10908
4002,45595,M,LIQUIDACION,43,23490,15749,11756,12314,0,11756,0,6642,4700.9
4003,44360,F,LIQUIDACION,226,15475,15475,9585,7763,0,9585,0,7712,0
4004,44950,M,LIQUIDACION,278,492,492,492,492,0,492,0,0,0
4005,44920,F,LIQUIDACION,429,907,907,289,836,0,289,0,71,0
4006,44900,M,LIQUIDACION,418,4698,4698,1774,2169,0,1774,0,2529,0
4007,44910,M,LIQUIDACION,352,2860,2860,3260,8,182,3260,42,1760,0
4008,44950,F,LIQUIDACION,183,9079,9079,7590,1456,969,7590,42,1809,0
4009,44810,M,LIQUIDACION,13,17448,1944,412,987,987,0,56,0,9846
4010,44910,M,LIQUIDACION,283,5491,5491,4592,541,275,4592,126,0,0
4010,44910,M,LIQUIDACION,281,5491,5491,4592,541,275,4592,126,0,0
4011,44740,F,LIQUIDACION,59,21508,21424,8241,11087,0,8241,0,10421,53
4012,44900,F,REGULARIZACION,6,68964,5373,686,2057,1111,0,189,0,36334
4013,44920,M,LIQUIDACION,125,502,502,498,502,0,498,0,0,0
4014,44910,F,LIQUIDACION,244,10737,10737,6204,5123,0,6204,0,5614,0
4015,44910,M,LIQUIDACION,14,17434,3007,542,9849,0,0,0,0,8127
4016,44900,F,REGULARIZACION,7,22270,1834,224,790,432,0,63,0,12324
4017,45417,M,REESTRUCTURA,14,9939,4941,1147,602,249,0,294,0,
4018,44950,M,LIQUIDACION,13,6647,4836,1069,949,943,0,56,0,845
4019,45426,F,LIQUIDACION,132,8256,8256,7540,4185,0,7540,0,4071,0
4020,45589,M,LIQUIDACION,43,11368,10852,5218,1112,283,5218,252,0,298.5
4021,60950,F,REESTRUCTURA,14,14081,4981,789,744,257,197,378,0,
4022,60950,M,REGULARIZACION,7,105707,7140,868,2068,1136,0,420,0,61192
4023,60950,F,NI,5,935.85,935.85,39.77,188,84,39.77,9,,
4024,60950,F,REGULARIZACION,12,99270,10734,0,2295,1359,0,315,0,52448
4025,60950,F,LIQUIDACION,377,25230,25230,16083,10797,0,16083,0,14433,0
4026,60990,M,REGULARIZACION,12,33702,7865,676,1425,1216,0,105,0,15183
4027,60950,F,LIQUIDACION,11,35773,4741,963,18164,0,0,0,0,18572
4028,60990,F,REGULARIZACION,7,15407,1421,58,464,404,0,42,0,8453
4029,60990,F,REGULARIZACION,6,15140,1443,48,498,387,0,63,0,8024
4030,60950,F,LIQUIDACION,269,25384,25384,16297,9994,855,16297,126,0,0
4031,60990,M,LIQUIDACION,244,11555,11555,6459,3101,406,6459,126,1146,0
4032,60990,M,LIQUIDACION,225,2345,2345,2345,504,125,2345,84,341,0
4033,39080,F,LIQUIDACION,22,3182,3182,1393,511,508,0,56,0,0
4034,67456,M,LIQUIDACION,13,1651,1651,67,206,189,0,56,0,0
4035,40810,F,REGULARIZACION,11,22227,3265,245,830,610,0,63,0,11170
4036,60950,M,REGULARIZACION,13,9689,3115,464,776,421,0,84,0,3665
4037,23400,M,REGULARIZACION,10,14357,2102,147,710,391,0,63,0,6667
4038,60157,F,REGULARIZACION,10,23316,3465,631,1047,626,0,84,0,9846
4039,60950,F,LIQUIDACION,12,1509,1388,294,203,200,0,56,0,41
4040,60983,F,REGULARIZACION,10,53105,5140,931,1451,938,0,84,0,26262
4041,60990,F,REGULARIZACION,12,29922,4730,176,804,698,0,105,0,13250
4042,60950,M,LIQUIDACION,19,5009,3833,1276,1307,1218,0,28,0,639
4043,60990,F,REGULARIZACION,8,20615,2816,401,1058,631,0,63,0,10305
4044,40810,M,REGULARIZACION,8,11464,2653,133,686,542,0,84,0,4564
4045,60990,M,LIQUIDACION,14,7874,3040,490,736,735,127,56,0,2605
4046,60990,F,REGULARIZACION,13,19678,4659,363,738,521,0,210,0,8114
4047,60950,F,LIQUIDACION,16,3907,3676,781,1016,423,288,56,0,119
4048,60990,M,LIQUIDACION,22,4960,4935,241,584,576,118,56,0,11
4049,60990,F,LIQUIDACION,16,7570,3972,519,3006,528,192,56,0,1868
4050,60990,F,LIQUIDACION,14,7303,3448,1011,6009,0,303,0,0,2001
4051,60950,M,REGULARIZACION,13,10010,3945,126,673,506,0,105,0,2625
4052,60990,F,REGULARIZACION,9,11051,1535,204,554,297,0,84,0,5125
4053,60992,M,REGULARIZACION,13,14545,2517,611,586,346,0,126,0,6483
4054,39740,M,LIQUIDACION,58,13218,13071,10315,1269,473,10315,168,568,87.76
4055,39620,F,LIQUIDACION,99,14033,14033,12135,4997,502,12135,126,0,0
4056,39530,M,REGULARIZACION,6,29476,2365,270,943,612,0,105,0,16081
4057,54124,M,REGULARIZACION,4,19858,1046,29,654,351,0,189,0,10484
4058,39350,F,REGULARIZACION,12,15102,5011,557,1001,761,0,105,0,4784
4059,39350,M,LIQUIDACION,279,16778,16778,5753,3497,859,5753,84,2973,0
4060,39530,F,REGULARIZACION,9,6863,1971,317,539,536,0,42,0,2056
4061,39530,F,LIQUIDACION,13,5317,1420,203,466,458,0,56,0,1892
4062,39550,M,REGULARIZACION,4,54220,2824,172,1416,960,0,63,0,30665
4063,39530,F,REGULARIZACION,8,1814,938,101,248,156,0,63,0,414
4064,62790,F,LIQUIDACION,307,15352,15352,13101,59,1005,13101,42,9263,0
4065,62306,M,REGULARIZACION,9,23931,3126,112,732,684,0,63,0,12409
4066,62130,F,LIQUIDACION,204,20286,20286,22694,2016,609,22694,210,0,0
4066,62130,F,LIQUIDACION,204,19686,19686,22694,1956,591,22694,210,0,0
4066,62130,F,LIQUIDACION,204,19986,19986,22694,1986,600,22694,210,0,0
4066,62130,F,LIQUIDACION,203,20286,20286,22994,2164,758,18396,210,0,0
4067,62450,M,LIQUIDACION,269,68058,68058,71585,6798,2042,71585,210,0,0
4067,62450,M,LIQUIDACION,270,67458,67458,71585,6738,2024,71585,210,0,0
4068,62515,F,LIQUIDACION,324,76240,76240,51659,318,5272,51659,42,44290,0
4069,62130,F,LIQUIDACION,314,110633,110633,97135,381,9462,97135,28,72404,0
4070,62790,F,REGULARIZACION,8,63205,6107,395,2006,1076,0,147,0,32383
4071,62039,F,REGULARIZACION,6,44814,4422,147,1590,1211,0,63,0,23797
4072,62080,M,REGULARIZACION,13,32254,7593,2012,1211,636,0,294,0,12816
4073,62000,F,REGULARIZACION,11,7948,2014,73,718,381,0,63,0,2849
4074,62010,F,REGULARIZACION,10,7060,2307,225,466,284,0,105,0,2780
4075,62130,F,LIQUIDACION,322,5590,5590,5590,3328,0,5590,0,2262,0
4076,62790,F,LIQUIDACION,424,10735,10735,10735,6040,0,10735,0,4695,0
4077,62520,M,LIQUIDACION,57,15488,15488,11914,8303,0,11914,0,7185,0
4077,62520,M,LIQUIDACION,57,16988,16988,11914,9119,0,11914,0,7869,0
4078,62190,F,LIQUIDACION,521,6552,6552,5760,4805,0,5760,0,1747,0
4079,62280,F,LIQUIDACION,324,50506,50506,45512,5056,1515,45512,210,0,0
4080,62589,F,LIQUIDACION,233,13900,13900,13900,7094,0,13900,0,6806,0
4081,62130,F,LIQUIDACION,214,11299,11299,16039,1072,403,16039,168,555,0
4081,62130,F,LIQUIDACION,215,11299,11299,16039,1123,424,16039,168,0,0
4082,62300,F,LIQUIDACION,512,1492,1492,1492,1015,0,1492,0,477,0
4083,62040,M,REESTRUCTURA,21,14750,9122,2094,843,296,0,378,0,
4084,62370,F,LIQUIDACION,124,8916,8916,6910,906,267,6910,210,0,0
4085,62080,F,LIQUIDACION,16,1309,1309,526,185,184,178,56,0,0
4086,62158,M,LIQUIDACION,312,17283,17283,16354,6087,0,16354,0,11196,0
4086,62158,M,LIQUIDACION,311,17283,17283,16354,6087,0,16354,0,11196,0
4087,62000,F,REGULARIZACION,13,21584,3589,300,596,387,0,273,0,10807
4088,62325,F,LIQUIDACION,416,7087,7087,6997,5489,0,6997,0,1598,0
4089,62520,F,LIQUIDACION,132,3160,3160,2567,2534,0,2567,0,626,0
4090,62180,M,REGULARIZACION,12,11083,2308,417,706,441,0,63,0,5273
4091,62130,F,LIQUIDACION,85,9262,9262,5122,910,232,5122,252,0,0
4092,62100,F,NI,399,901,901,6079,900,0,6079,0,,
4093,62100,F,REESTRUCTURA,12,9641,2422,90,487,154,0,420,0,
4094,62577,M,LIQUIDACION,237,3703,3703,3703,3703,0,3703,0,0,0
4095,62159,M,LIQUIDACION,325,11025,11025,10116,978,494,10116,126,1155,0
4096,62240,M,LIQUIDACION,76,12502,12502,4695,1234,313,4695,252,0,0
4097,62589,F,REGULARIZACION,12,10053,4005,284,841,530,0,84,0,3127
4098,62170,F,NI,45,4969,4969,4795,1001,496,4795,56,,
4099,62100,M,REGULARIZACION,12,18459,3147,117,528,464,0,105,0,9280
4100,62170,M,LIQUIDACION,266,8529,8529,8302,8529,0,8302,0,0,0
4101,62010,F,REGULARIZACION,10,20469,4210,501,894,523,0,210,0,8334
4102,62599,M,LIQUIDACION,164,8951,8951,7776,3772,0,7776,0,5179,0
4102,62599,M,LIQUIDACION,164,9951,9951,7776,1695,344,7776,168,0,0
4102,62599,M,LIQUIDACION,162,8951,8951,7776,1031,330,7776,168,0,0
4103,62570,M,LIQUIDACION,240,7022,7022,6614,3744,0,6614,0,3278,0
4104,62220,M,LIQUIDACION,103,1416,1416,6613,1548,0,6481,0,0,0
4105,62020,M,REGULARIZACION,9,18569,2292,82,548,624,0,42,0,9760
4106,62325,M,LIQUIDACION,97,6490,6490,6331,640,325,6331,126,0,0
4107,62130,F,REGULARIZACION,9,38046,3819,291,1404,594,0,168,0,20956
4108,62115,M,LIQUIDACION,60,10359,10024,5627,3001,404,5627,126,0,200.86
4109,62764,M,LIQUIDACION,11,3561,2784,275,502,417,0,56,0,371
4110,62515,M,REGULARIZACION,10,13909,3183,377,799,516,0,126,0,6394
4111,62583,F,REGULARIZACION,9,4806,1735,264,466,490,0,42,0,1574
4112,62010,F,REGULARIZACION,10,13012,3848,671,1211,429,0,189,0,5144
4113,83170,F,LIQUIDACION,79,18850,18850,10466,1898,326,10466,364,0,0
4113,83170,F,LIQUIDACION,77,19200,19200,10816,1501,9390,9735,14,0,0
4113,83170,F,LIQUIDACION,78,19200,19200,10466,1936,332,10466,364,0,0
4113,83170,F,LIQUIDACION,79,18500,18500,10466,1860,320,10466,364,0,0
4114,83067,M,LIQUIDACION,222,64775,64775,37257,27310,0,37257,0,37465,0
4115,83280,M,REGULARIZACION,7,26399,4193,146,1203,1014,0,63,0,12151
4116,83294,M,LIQUIDACION,278,124603,124603,85130,10522,3049,68104,301,0,0
